,Date,Country,Cum # of Cases,Cum # of Deaths,Cum # Recovered,# of Cases,# of Deaths,# Recovered,Day,Day of Month,Month,Month Name
0,2003-03-17,Canada,8.0,2.0,0.0,0.0,0.0,0.0,1,17,3,March
1,2003-03-17,China,0.0,0.0,0.0,0.0,0.0,0.0,1,17,3,March
2,2003-03-17,Hong Kong,95.0,1.0,0.0,0.0,0.0,0.0,1,17,3,March
3,2003-03-17,Singapore,20.0,0.0,0.0,0.0,0.0,0.0,1,17,3,March
4,2003-03-17,Taiwan,0.0,0.0,0.0,0.0,0.0,0.0,1,17,3,March
5,2003-03-17,United States,0.0,0.0,0.0,0.0,0.0,0.0,1,17,3,March
6,2003-03-17,Viet Nam,40.0,1.0,0.0,0.0,0.0,0.0,1,17,3,March
7,2003-03-18,Canada,8.0,2.0,0.0,0.0,0.0,0.0,2,18,3,March
8,2003-03-18,China,0.0,0.0,0.0,0.0,0.0,0.0,2,18,3,March
9,2003-03-18,Hong Kong,123.0,1.0,0.0,28.0,0.0,0.0,2,18,3,March
10,2003-03-18,Singapore,23.0,0.0,0.0,3.0,0.0,0.0,2,18,3,March
11,2003-03-18,Taiwan,3.0,0.0,0.0,3.0,0.0,0.0,2,18,3,March
12,2003-03-18,United States,0.0,0.0,0.0,0.0,0.0,0.0,2,18,3,March
13,2003-03-18,Viet Nam,57.0,1.0,0.0,17.0,0.0,0.0,2,18,3,March
14,2003-03-19,Canada,8.0,2.0,0.0,0.0,0.0,0.0,3,19,3,March
15,2003-03-19,China,0.0,0.0,0.0,0.0,0.0,0.0,3,19,3,March
16,2003-03-19,Hong Kong,150.0,5.0,0.0,27.0,4.0,0.0,3,19,3,March
17,2003-03-19,Singapore,31.0,0.0,0.0,8.0,0.0,0.0,3,19,3,March
18,2003-03-19,Taiwan,3.0,0.0,0.0,0.0,0.0,0.0,3,19,3,March
19,2003-03-19,United States,11.0,0.0,0.0,11.0,0.0,0.0,3,19,3,March
20,2003-03-19,Viet Nam,57.0,2.0,0.0,0.0,1.0,0.0,3,19,3,March
21,2003-03-20,Canada,9.0,2.0,0.0,1.0,0.0,0.0,4,20,3,March
22,2003-03-20,China,0.0,0.0,0.0,0.0,0.0,0.0,4,20,3,March
23,2003-03-20,Hong Kong,173.0,6.0,0.0,23.0,1.0,0.0,4,20,3,March
24,2003-03-20,Singapore,34.0,0.0,0.0,3.0,0.0,0.0,4,20,3,March
25,2003-03-20,Taiwan,4.0,0.0,0.0,1.0,0.0,0.0,4,20,3,March
26,2003-03-20,United States,11.0,0.0,0.0,0.0,0.0,0.0,4,20,3,March
27,2003-03-20,Viet Nam,63.0,2.0,0.0,6.0,0.0,0.0,4,20,3,March
28,2003-03-21,Canada,9.0,2.0,0.0,0.0,0.0,0.0,5,21,3,March
29,2003-03-21,China,0.0,0.0,0.0,0.0,0.0,0.0,5,21,3,March
30,2003-03-21,Hong Kong,203.0,6.0,0.0,30.0,0.0,0.0,5,21,3,March
31,2003-03-21,Singapore,39.0,0.0,0.0,5.0,0.0,0.0,5,21,3,March
32,2003-03-21,Taiwan,6.0,0.0,0.0,2.0,0.0,0.0,5,21,3,March
33,2003-03-21,United States,13.0,0.0,0.0,2.0,0.0,0.0,5,21,3,March
34,2003-03-21,Viet Nam,63.0,2.0,0.0,0.0,0.0,0.0,5,21,3,March
35,2003-03-22,Canada,9.0,2.0,0.0,0.0,0.0,0.0,6,22,3,March
36,2003-03-22,China,0.0,0.0,0.0,0.0,0.0,0.0,6,22,3,March
37,2003-03-22,Hong Kong,222.0,7.0,0.0,19.0,1.0,0.0,6,22,3,March
38,2003-03-22,Singapore,44.0,0.0,0.0,5.0,0.0,0.0,6,22,3,March
39,2003-03-22,Taiwan,6.0,0.0,0.0,0.0,0.0,0.0,6,22,3,March
40,2003-03-22,United States,22.0,0.0,0.0,9.0,0.0,0.0,6,22,3,March
41,2003-03-22,Viet Nam,64.0,2.0,0.0,1.0,0.0,0.0,6,22,3,March
42,2003-03-24,Canada,11.0,3.0,0.0,2.0,1.0,0.0,8,24,3,March
43,2003-03-24,China,0.0,0.0,0.0,0.0,0.0,0.0,8,24,3,March
44,2003-03-24,Hong Kong,260.0,10.0,0.0,38.0,3.0,0.0,8,24,3,March
45,2003-03-24,Singapore,65.0,0.0,0.0,21.0,0.0,0.0,8,24,3,March
46,2003-03-24,Taiwan,6.0,0.0,0.0,0.0,0.0,0.0,8,24,3,March
47,2003-03-24,United States,37.0,0.0,0.0,15.0,0.0,0.0,8,24,3,March
48,2003-03-24,Viet Nam,64.0,4.0,0.0,0.0,2.0,0.0,8,24,3,March
49,2003-03-25,Canada,11.0,3.0,0.0,0.0,0.0,0.0,9,25,3,March
50,2003-03-25,China,0.0,0.0,0.0,0.0,0.0,0.0,9,25,3,March
51,2003-03-25,Hong Kong,286.0,10.0,0.0,26.0,0.0,0.0,9,25,3,March
52,2003-03-25,Singapore,69.0,0.0,0.0,4.0,0.0,0.0,9,25,3,March
53,2003-03-25,Taiwan,6.0,0.0,0.0,0.0,0.0,0.0,9,25,3,March
54,2003-03-25,United States,39.0,0.0,0.0,2.0,0.0,0.0,9,25,3,March
55,2003-03-25,Viet Nam,64.0,4.0,0.0,0.0,0.0,0.0,9,25,3,March
56,2003-03-26,Canada,19.0,3.0,0.0,8.0,0.0,0.0,10,26,3,March
57,2003-03-26,China,792.0,31.0,0.0,792.0,31.0,0.0,10,26,3,March
58,2003-03-26,Hong Kong,316.0,10.0,0.0,30.0,0.0,0.0,10,26,3,March
59,2003-03-26,Singapore,74.0,1.0,0.0,5.0,1.0,0.0,10,26,3,March
60,2003-03-26,Taiwan,6.0,0.0,0.0,0.0,0.0,0.0,10,26,3,March
61,2003-03-26,United States,40.0,0.0,0.0,1.0,0.0,0.0,10,26,3,March
62,2003-03-26,Viet Nam,64.0,4.0,0.0,0.0,0.0,0.0,10,26,3,March
63,2003-03-27,Canada,28.0,3.0,0.0,9.0,0.0,0.0,11,27,3,March
64,2003-03-27,China,806.0,34.0,0.0,14.0,3.0,0.0,11,27,3,March
65,2003-03-27,Hong Kong,367.0,10.0,0.0,51.0,0.0,0.0,11,27,3,March
66,2003-03-27,Singapore,78.0,2.0,0.0,4.0,1.0,0.0,11,27,3,March
67,2003-03-27,Taiwan,6.0,0.0,0.0,0.0,0.0,0.0,11,27,3,March
68,2003-03-27,United States,45.0,0.0,0.0,5.0,0.0,0.0,11,27,3,March
69,2003-03-27,Viet Nam,64.0,4.0,0.0,0.0,0.0,0.0,11,27,3,March
70,2003-03-28,Canada,29.0,3.0,0.0,1.0,0.0,0.0,12,28,3,March
71,2003-03-28,China,806.0,34.0,0.0,0.0,0.0,0.0,12,28,3,March
72,2003-03-28,Hong Kong,425.0,10.0,0.0,58.0,0.0,0.0,12,28,3,March
73,2003-03-28,Singapore,86.0,2.0,0.0,8.0,0.0,0.0,12,28,3,March
74,2003-03-28,Taiwan,10.0,0.0,0.0,4.0,0.0,0.0,12,28,3,March
75,2003-03-28,United States,51.0,0.0,0.0,6.0,0.0,0.0,12,28,3,March
76,2003-03-28,Viet Nam,64.0,4.0,0.0,0.0,0.0,0.0,12,28,3,March
77,2003-03-29,Canada,37.0,3.0,0.0,8.0,0.0,0.0,13,29,3,March
78,2003-03-29,China,806.0,34.0,0.0,0.0,0.0,0.0,13,29,3,March
79,2003-03-29,Hong Kong,470.0,10.0,0.0,45.0,0.0,0.0,13,29,3,March
80,2003-03-29,Singapore,89.0,2.0,0.0,3.0,0.0,0.0,13,29,3,March
81,2003-03-29,Taiwan,10.0,0.0,0.0,0.0,0.0,0.0,13,29,3,March
82,2003-03-29,United States,59.0,0.0,0.0,8.0,0.0,0.0,13,29,3,March
83,2003-03-29,Viet Nam,64.0,4.0,0.0,0.0,0.0,0.0,13,29,3,March
84,2003-03-31,Canada,44.0,4.0,0.0,7.0,1.0,0.0,15,31,3,March
85,2003-03-31,China,806.0,34.0,0.0,0.0,0.0,0.0,15,31,3,March
86,2003-03-31,Hong Kong,530.0,13.0,0.0,60.0,3.0,0.0,15,31,3,March
87,2003-03-31,Singapore,91.0,2.0,0.0,2.0,0.0,0.0,15,31,3,March
88,2003-03-31,Taiwan,10.0,0.0,0.0,0.0,0.0,0.0,15,31,3,March
89,2003-03-31,United States,59.0,0.0,0.0,0.0,0.0,0.0,15,31,3,March
90,2003-03-31,Viet Nam,64.0,4.0,0.0,0.0,0.0,0.0,15,31,3,March
91,2003-04-01,Canada,53.0,4.0,0.0,9.0,0.0,0.0,16,1,4,April
92,2003-04-01,China,806.0,34.0,0.0,0.0,0.0,0.0,16,1,4,April
93,2003-04-01,Hong Kong,685.0,16.0,0.0,155.0,3.0,0.0,16,1,4,April
94,2003-04-01,Singapore,92.0,3.0,0.0,1.0,1.0,0.0,16,1,4,April
95,2003-04-01,Taiwan,13.0,0.0,0.0,3.0,0.0,0.0,16,1,4,April
96,2003-04-01,United States,69.0,0.0,0.0,10.0,0.0,0.0,16,1,4,April
97,2003-04-01,Viet Nam,64.0,4.0,0.0,0.0,0.0,0.0,16,1,4,April
98,2003-04-02,Canada,58.0,6.0,0.0,5.0,2.0,0.0,17,2,4,April
99,2003-04-02,China,1190.0,46.0,0.0,384.0,12.0,0.0,17,2,4,April
100,2003-04-02,Hong Kong,708.0,16.0,0.0,23.0,0.0,0.0,17,2,4,April
101,2003-04-02,Singapore,95.0,4.0,0.0,3.0,1.0,0.0,17,2,4,April
102,2003-04-02,Taiwan,13.0,0.0,0.0,0.0,0.0,0.0,17,2,4,April
103,2003-04-02,United States,72.0,0.0,0.0,3.0,0.0,0.0,17,2,4,April
104,2003-04-02,Viet Nam,64.0,4.0,0.0,0.0,0.0,0.0,17,2,4,April
105,2003-04-03,Canada,62.0,6.0,0.0,4.0,0.0,0.0,18,3,4,April
106,2003-04-03,China,1190.0,46.0,0.0,0.0,0.0,0.0,18,3,4,April
107,2003-04-03,Hong Kong,734.0,17.0,0.0,26.0,1.0,0.0,18,3,4,April
108,2003-04-03,Singapore,98.0,4.0,0.0,3.0,0.0,0.0,18,3,4,April
109,2003-04-03,Taiwan,14.0,0.0,0.0,1.0,0.0,0.0,18,3,4,April
110,2003-04-03,United States,85.0,0.0,0.0,13.0,0.0,0.0,18,3,4,April
111,2003-04-03,Viet Nam,65.0,4.0,0.0,1.0,0.0,0.0,18,3,4,April
112,2003-04-04,Canada,69.0,7.0,0.0,7.0,1.0,0.0,19,4,4,April
113,2003-04-04,China,1220.0,49.0,0.0,30.0,3.0,0.0,19,4,4,April
114,2003-04-04,Hong Kong,761.0,17.0,0.0,27.0,0.0,0.0,19,4,4,April
115,2003-04-04,Singapore,100.0,5.0,0.0,2.0,1.0,0.0,19,4,4,April
116,2003-04-04,Taiwan,15.0,0.0,0.0,1.0,0.0,0.0,19,4,4,April
117,2003-04-04,United States,100.0,0.0,0.0,15.0,0.0,0.0,19,4,4,April
